account_bal,duration,payment_status,credit_amount,savings_bond_value,employed_since,intallment_rate,residence_since,age,number_of_existcr,job,number_of_dependents,target
1,9,0,1136,3,4,4,3,32,2,2,2,0
2,6,0,1323,1,4,2,4,28,2,2,2,1
3,48,1,7238,4,4,3,3,32,2,2,2,1
2,42,0,4796,0,4,4,4,56,1,2,1,1
1,18,0,1056,0,4,3,3,30,2,2,1,0
0,21,2,2606,0,1,4,4,28,1,3,1,1
1,12,2,1567,0,2,1,1,22,1,2,1,1
3,18,2,4594,0,1,3,2,32,1,2,1,1
0,12,2,1262,4,4,2,4,49,1,1,1,1
1,21,2,2767,1,4,4,2,61,2,1,1,0
0,9,0,1288,1,4,3,4,48,2,2,2,1
3,15,1,960,3,3,3,2,30,2,2,1,1
1,18,0,3612,0,4,3,4,37,1,2,1,1
1,42,0,5954,0,3,2,1,41,2,1,1,1
1,18,0,1245,0,2,4,2,33,1,2,1,0
0,9,0,2799,0,2,2,2,36,2,2,2,1
3,24,0,3868,0,4,4,2,41,2,3,1,1
0,15,2,1053,0,1,4,2,27,1,2,1,1
3,4,0,1455,0,3,2,1,42,3,1,2,1
0,24,1,4870,0,2,3,4,53,2,2,2,0
3,24,2,1258,0,3,4,1,25,1,2,1,1
3,12,2,1123,2,2,4,4,29,1,1,1,0
3,21,2,2476,4,4,4,4,46,1,3,1,1
1,30,0,2181,4,4,4,4,36,2,2,1,1
3,12,2,3527,4,1,2,3,45,1,3,2,1
3,36,1,7980,4,1,4,4,27,2,2,1,0
1,18,2,3001,0,3,2,4,40,1,2,1,1
3,48,0,8858,4,3,2,1,35,2,2,1,1
3,24,1,2538,0,4,4,4,47,2,1,2,0
1,9,3,5129,0,4,2,4,74,1,3,2,0
0,24,3,3552,0,3,3,4,27,1,2,1,0
0,18,2,1936,4,3,2,4,23,2,1,1,1
1,48,4,14421,0,2,2,2,25,1,2,1,0
3,15,2,1386,4,2,4,2,40,1,2,1,1
3,30,0,2831,0,2,4,2,33,1,2,1,1
0,36,0,5371,0,2,3,2,28,2,2,1,1
1,15,2,1514,1,2,4,2,22,1,2,1,1
1,30,2,1715,4,2,4,1,26,1,2,1,1
3,18,2,3422,0,4,4,4,47,3,2,2,1
0,15,0,1433,0,2,4,3,25,2,2,1,1
1,24,1,4712,4,2,4,2,37,2,3,1,1
1,12,2,639,0,2,4,2,30,1,2,1,0
3,10,2,1309,4,2,4,4,27,1,1,1,0
1,18,4,3244,0,2,1,4,33,2,2,1,1
1,18,2,2779,0,2,1,3,21,1,2,1,1
0,12,0,3499,0,2,3,2,29,2,2,1,0
2,15,0,2360,2,2,2,2,36,1,2,1,1
2,15,2,2327,0,1,2,3,25,1,1,1,0
0,12,0,2122,0,2,3,2,39,2,1,2,1
3,18,0,1530,0,2,3,2,32,2,2,1,0
3,28,3,7824,4,1,3,4,40,2,2,2,1
3,24,0,1585,0,3,4,3,40,2,2,1,1
0,18,2,3650,0,1,1,4,22,1,2,1,1
0,18,2,2659,3,2,4,2,28,1,2,1,1
3,15,2,1213,2,4,4,3,47,1,2,1,1
3,21,1,1591,1,3,4,3,34,2,3,1,1
3,12,2,2133,4,4,4,4,52,1,3,1,1
3,30,0,3077,4,4,3,2,40,2,2,2,1
0,20,2,2212,4,3,4,4,39,1,2,1,1
3,22,2,1283,4,3,4,4,25,1,2,1,1
3,12,0,1264,4,4,4,4,57,1,1,1,1
3,36,2,3079,4,2,4,4,36,1,2,1,1
3,12,2,2859,4,0,4,4,38,1,3,1,1
3,18,2,2662,4,3,4,3,32,1,2,1,1
0,45,4,11816,0,4,2,4,29,2,2,1,0
0,24,1,1024,0,1,4,4,48,1,2,1,0
1,48,3,3566,1,3,4,2,30,1,2,1,1
3,6,2,1346,1,4,2,4,42,1,2,2,1
0,48,2,4308,0,1,3,4,24,1,2,1,0
3,18,2,1505,0,2,4,2,32,1,3,1,1
0,12,2,727,1,1,4,3,33,1,1,1,0
0,18,0,1190,0,0,2,4,55,3,0,2,0
0,30,0,10623,0,4,3,4,38,3,3,2,1
2,6,2,709,3,1,2,2,27,1,0,1,1
0,18,0,5302,0,4,2,4,36,3,3,1,1
1,6,2,484,0,3,3,3,28,1,1,1,1
3,10,2,1287,4,4,4,2,45,1,1,1,1
1,12,2,983,3,1,1,4,19,1,1,1,1
3,60,0,13756,4,4,2,4,63,1,3,1,1
3,24,2,2835,2,4,3,4,53,1,2,1,1
1,24,2,1201,0,1,4,1,26,1,2,1,1
1,48,3,12169,4,0,4,4,36,1,3,1,1
1,36,2,9398,0,1,1,4,28,1,3,1,0
3,12,0,1592,3,3,3,2,35,1,2,1,1
0,12,2,1228,0,2,4,2,24,1,1,1,0
1,36,2,9034,1,1,4,1,29,1,3,1,0
0,12,2,1200,4,2,4,4,23,1,2,1,1
1,15,3,6850,1,0,1,2,34,1,3,2,0
0,12,2,1858,0,1,4,1,22,1,2,1,1
2,36,2,4473,0,4,4,2,31,1,2,1,1
3,54,4,9436,4,2,2,2,39,1,1,2,1
0,11,0,3905,0,2,2,2,36,2,2,2,1
3,33,1,2764,0,2,2,2,26,2,2,1,1
1,30,2,2991,4,4,2,4,25,1,2,1,1
3,24,0,2022,0,2,4,4,37,1,2,1,1
3,24,2,1533,0,1,4,3,38,1,2,1,1
3,24,0,2197,4,3,4,4,43,2,2,2,1
3,12,0,1240,4,4,4,2,38,2,2,1,1
0,16,0,2625,0,4,2,4,43,1,2,1,0
1,48,2,5951,0,2,2,2,22,1,2,1,0
0,18,3,1940,0,1,3,4,36,1,3,1,1
1,7,2,2576,0,2,2,2,35,1,2,1,1
